id,data_reclamacao,canal,texto_reclamacao,produto,status,categoria_oculta_gabarito
REC-2026-00098,2026-11-21,Banco Central,"É um absurdo, Banco Central! Eu, que sempre fui um cliente de ponta, não posso aceitar a total falta de segurança desse banco medíocre. Meus dados, minha tranquilidade, tudo em risco por conta da incompetência generalizada deles. Vocês precisam INTERVIR imediatamente, porque a situação é crítica e eu não tenho tempo para lidar com amadores. Façam o trabalho de vocês e resolvam isso AGORA!",,Em análise,Fraude/Segurança
REC-2026-00099,2026-09-16,Redes Sociais,"Gente, eu preciso reclamar, mas não sei nem por onde começar direito com essas coisas de internet. É tanta complicação que a gente fica de cabeça virada. Eu tava lá no meu celular, sabe, no tal do Zap, ou era no Face, não sei mais, é tudo igual pra mim. Só queria ver as fotinho dos netos, umas receita de bolo, essas coisas de gente mais velha.

Aí do nada, apareceu um anúncio, um banner piscando, falando de dinheiro fácil, empréstimo, não sei o quê. Eu nem tava pensando em empréstimo! Mas, sabe como é, a tela é pequena, o dedo da gente já não é mais o mesmo, e acabei clicando num botão que nem vi direito. Era uma corzinha cinza, bem miudinha.

Pronto, foi só clicar e começou a aparecer umas tela estranha, cheia de pergunta. Nome completo, número de documento, um monte de coisa. Eu não queria preencher nada, mas aí parecia que não tinha botão pra sair. Toda vez que eu tentava voltar, ele voltava pra mesma página. Ou então aparecia uma mensagem com umas letra que eu não entendia, tipo ""cookies"", ""termos de uso"". Quem é que entende esses termos? É um monte de palavra difícil que só advogado entende.

Tentei pedir ajuda pro meu neto, mas ele tava jogando um jogo lá com uns barulho estranho e disse que tava ocupado. Falou pra eu ""limpar o cache"", mas o que é cache, meu Deus do céu? Eu só queria que sumisse aquela tela chata.

Depois de um tempo, não sei como, a tela sumiu. Achei que tava tudo resolvido, sabe? Que eu tinha conseguido sair daquela enrascada. Que nada! Agora, faz uns dias, começou a chegar umas mensagem no meu telefone, umas SMS, falando de ""parcela a vencer"", ""seu empréstimo aprovado"", ""boleto digital"". Eu não pedi empréstimo nenhum! Como que aprovam uma coisa que eu nem quis?

Tô ficando preocupado, de verdade. Será que eu assinei alguma coisa sem querer? Nessas tela pequena, a gente clica num ""aceitar"" achando que tá só fechando a janela, e de repente tá com uma dívida. É um absurdo isso! Como é que vocês fazem umas coisas tão confusas que a gente, que não entende dessas tecnologia, acaba se enrolando todo?

Eu só queria usar a internet pra ver as coisas boas, e agora tô com esse problema na cabeça. Não sei onde procurar esse empréstimo, onde que cancela, se é que dá pra cancelar. Ninguém me ligou pra perguntar se eu queria, não veio nenhum papel na minha casa. É tudo por esse tal de aplicativo, que só serve pra confundir a gente.

Por favor, eu preciso que alguém me ajude a entender essa história. Eu não posso ficar com um empréstimo que eu não pedi e que nem sei como aconteceu. É muita tecnologia pra pouca explicação. Eu só queria que as coisas fossem mais simples, como antigamente, que a gente conversava com uma pessoa de verdade e não com uma máquina que só manda a gente clicar em botão. Eu só quero que resolvam isso pra mim.",Empréstimo,Aberta,Outros
REC-2026-00100,2026-04-21,Redes Sociais,"Que raiva, gente! Tô aqui implorando por ajuda de novo porque meu empréstimo foi cancelado do nada! Eu dependo desse dinheiro pra pagar minhas contas e agora tô com a corda no pescoço, sem saber o que fazer. É um desrespeito total com quem mais precisa! Alguém me ajuda a resolver isso, por favor, antes que eu perca tudo!",Empréstimo,Em análise,Cancelamento
REC-2026-00101,2026-07-24,Redes Sociais,"Gente, pelo amor de Deus, eu não sei mais o que fazer! Eu tô aqui pra desabafar e pedir uma ajuda porque a empresa [Nome da Empresa de Cartão - vou inventar um nome pra ficar mais real] tá acabando com a minha paz e com o meu pouco dinheiro.

É uma cobrança indevida no meu cartão de crédito que já virou um pesadelo sem fim. Eu sou um trabalhador simples, meu salário é contadinho, cada centavo faz uma falta danada no final do mês. E agora tô tendo que lidar com essa palhaçada de uma fatura que não para de vir com um valor que eu NÃO gastei, NÃO usei, NÃO contratei!

Tudo começou há uns três meses, quando apareceu na minha fatura uma compra de um tal ""Serviço X"" que eu nunca vi na vida. Nunca ouvi falar, nunca cliquei em nada, NADA! Quando vi, tomei um susto. Aí, liguei pra central de atendimento. Fiquei UMA HORA esperando pra ser atendido, ouvindo musiquinha chata. Quando finalmente consegui falar com alguém, expliquei tudo, a moça disse que ia abrir uma contestação e que eu não precisava me preocupar, que ia ser resolvido. Ufa, pensei, problema resolvido.

Que nada! No mês seguinte, a bendita cobrança lá de novo! E eu, que já tinha contado com esse valor pra pagar minhas contas básicas, fiquei desesperado. Liguei de novo, mais uma hora de espera, mais uma explicação do zero pra outra pessoa. O atendente, super seco, falou que a contestação tinha sido ""negada"" sem me dar UMA explicação decente do porquê. Como assim negada? Eu não usei! Não tem lógica! Pedi pra ele rever, pra olhar de novo, ele disse que não podia fazer mais nada e que eu tinha que pagar. Pagar o quê? O que eu não devo?

Minha cabeça começou a fritar. Fui pro chat do aplicativo, achei que lá seria mais fácil. Outra novela! Falei com uns três atendentes diferentes, cada um me pedindo as mesmas informações, cada um me dando uma resposta diferente. Um disse que era erro do sistema, outro que eu tinha que provar que não usei (como eu provo que não fiz uma coisa que não fiz?), e o último simplesmente parou de responder no meio da conversa. Me deixou no vácuo!

Agora já é a terceira fatura que vem com essa porcaria. Tô devendo um valor que não é meu, meu nome vai pra lista de ""mal pagador"" por uma coisa que eu não tenho culpa! Eu tô perdendo o sono, tô estressado, tô com dor de cabeça todo dia pensando nisso. Eu faço meu trabalho honestamente, me esforço pra pagar minhas contas em dia, e uma empresa desse tamanho me trata como se eu fosse um palhaço, um mentiroso, e me joga numa dívida que não é minha.

Eu não sei mais onde reclamar, pra quem pedir ajuda. Por favor, alguém da [Nome da Empresa de Cartão] que veja isso, ME AJUDA! Eu preciso que essa cobrança seja retirada, eu preciso que resolvam isso de uma vez por todas. Eu não aguento mais essa situação, eu não tenho dinheiro pra ficar pagando o erro de vocês ou a esperteza de alguém que colocou essa cobrança no meu cartão. É desumano o que estão fazendo comigo. Por favor, me ajudem a resolver isso! Tô no limite.",Cartão de Crédito,Resolvida,Cobrança Indevida
REC-2026-00102,2026-05-11,Banco Central,"Essa porcaria de empréstimo virou uma bola de neve, os juros são um absurdo! Vocês precisam ver isso, Banco Central, isso é um roubo.",Empréstimo,Aberta,Produto/Serviço
REC-2026-00103,2026-02-13,SAC,"Gente meu cartão de crédito tá todo zoado com umas cobrança que não é minha, tô desesperado e se num resolver vou pro Procon ou processar vocês! Ajuda aí!",Cartão de Crédito,Em análise,Produto/Serviço
REC-2026-00104,2026-10-12,SAC,"É inacreditável a situação que estou vivendo por causa de vocês. De verdade, é humilhante ter que vir aqui, eu, um cliente que move milhões, que sempre confiou a vocês a segurança do meu patrimônio, para reclamar de algo tão básico e fundamental como a minha tranquilidade financeira. Eu não consigo mais dormir direito, pensando nas brechas, nos riscos que estou exposto, e que, francamente, deveriam ser INEXISTENTES para alguém do meu perfil e do meu histórico com essa instituição.

Eu estou desesperado, sim, DESESPERADO, porque a confiança que depositei em vocês está se esfarelando. Semana passada, quase caí num golpe ABSURDO. Um contato que sabia detalhes da minha vida, da minha rotina, com uma história que parecia perfeitamente alinhada. Se não fosse pela minha própria atenção – algo que eu não deveria ter que ter com a intensidade que tenho tido – meu dinheiro teria ido embora. E o mais revoltante é pensar: como essas informações vazaram? Como essas pessoas têm acesso a um nível de detalhe que só quem tem acesso aos seus sistemas teria? Vocês estão me expondo! Estão expondo os clientes que mais valem para vocês!

Essa não é a primeira vez que sinto essa pontada de insegurança, mas agora atingiu um limite. Eu não posso viver sob essa ameaça constante, com a sensação de que a qualquer momento meu império pode ser abalado por uma falha de segurança que deveria ser a PRIORIDADE número um de vocês. Estou pedindo ajuda, sim, mas é uma ajuda que eu EXIJO, porque é a responsabilidade de vocês me proteger. Eu não sou um cliente qualquer, e espero que o tratamento para a minha segurança não seja o de um. Não é sobre um produto específico, é sobre a fundação, a segurança de TODO o meu relacionamento com vocês.

Eu preciso de uma resposta, não uma daquelas automáticas que mandam para todo mundo. Quero saber o que vocês estão fazendo de CONCRETO para blindar clientes como eu, para garantir que informações sensíveis não vazem e que a gente não seja alvo de criminosos que parecem ter um dossiê completo nas mãos. Isso está me consumindo, está minando a minha fé na capacidade de vocês de honrar o compromisso com a excelência e a segurança que tanto alardeiam.

Se essa situação de vulnerabilidade persistir, se eu continuar sentindo que meu dinheiro e minha vida privada estão em risco sob a guarda de vocês, não terei outra opção senão reavaliar ONDE meu vasto patrimônio será gerenciado. E garanto que não serei o único a fazê-lo. Espero, e de verdade, DEMANDO, que essa reclamação seja tratada com a urgência e a seriedade que minha posição e a gravidade do problema exigem. Eu preciso de um contato direto, de alguém que realmente possa resolver e me dar garantias, não de um atendente genérico. Me liguem. AGORA.",,Resolvida,Fraude/Segurança
REC-2026-00105,2026-03-04,Redes Sociais,"É brincadeira, né? Contratei um empréstimo com vocês e agora aparece uma cobrança indevida que não faço a menor ideia do que é! Vocês acham que eu tenho tempo pra ficar perdendo com erro de vocês? Tô de saco cheio dessa palhaçada, resolvam isso logo antes que eu perca a paciência de vez!",Empréstimo,Em análise,Cobrança Indevida
REC-2026-00106,2026-11-04,Banco Central,Exijo que o Banco Central atue imediatamente na correção da falha de segurança que permitiu transações fraudulentas em meu cartão de crédito. A situação é inadmissível.,Cartão de Crédito,Em análise,Fraude/Segurança
REC-2026-00107,2026-12-03,Redes Sociais,"Gente, que palhaçada é essa de cobrança indevida no meu empréstimo? Apareceu um valor a mais que eu não reconheço de jeito nenhum. Isso tá errado, quero que resolvam essa bagunça e tirem essa cobrança AGORA, por favor!",Empréstimo,Aberta,Cobrança Indevida
REC-2026-00108,2026-02-28,Banco Central,"Olha, eu tô escrevendo aqui pro Banco Central porque não aguento mais o descaso e a falta de respeito do Banco Facilita. É um absurdo o que tão fazendo comigo por causa desse cartão de crédito deles.

Eu tenho um cartão de crédito desse banco há um tempo e sempre paguei minhas contas em dia, nunca dei problema. Mas no mês passado, eu fiz uma compra online que logo depois eu tive que cancelar. A loja me confirmou o cancelamento, disse que ia estornar o valor no meu cartão e que eu não ia ver a cobrança na fatura. Pois bem, chegou a fatura de março, e lá estava a cobrança, bonitinha, como se nada tivesse acontecido.

Aí começou a minha via crucis. Liguei pro Banco Facilita a primeira vez no dia 5 de março. Fiquei mais de 25 minutos na espera, ouvindo aquela musiquinha irritante. Quando finalmente alguém atendeu, uma moça que mal falava direito, expliquei toda a história. Ela disse que ia abrir um chamado, me deu um número de protocolo (20240305-12345) e falou que em até 7 dias úteis a cobrança seria estornada e sairia da próxima fatura. Anotei tudo.

Passaram os 7 dias, passaram 10 dias, e nada. Chegou a fatura de abril, e a cobrança de março, aquela que devia ter saído, continuava lá. E pior, com juros por eu não ter pago a fatura inteira por causa dessa cobrança errada. Liguei de novo, no dia 15 de abril. Mais de 35 minutos na espera. Dessa vez, um rapaz atendeu. Eu dei o protocolo antigo, mas ele não achava direito, disse que 'não tinha movimentação'. Tive que explicar TUDO de novo, do zero! Ele falou que o protocolo anterior devia ter sido 'encerrado sem solução' e que ia abrir outro, com outro prazo. Me deu o protocolo (20240415-67890). Eu já tava começando a ferver.

Esperei de novo. Nada. Liguei pela terceira vez no dia 28 de abril. Dessa vez, foi mais de 45 minutos na espera. Eu tava quase jogando o telefone na parede. A atendente nem me deixou terminar de explicar direito, já veio falando que 'o prazo ainda não tinha encerrado' do último protocolo, mas que ia 'dar uma olhada'. Depois de mais uns 10 minutos na linha, ela disse que o sistema tava lento e que eu devia 'aguardar mais um pouco'. Aguardar mais um pouco o quê? Eu já tô esperando há quase dois meses por uma coisa simples!

Eu sou um trabalhador, eu não tenho tempo e nem paciência pra ficar brigando com banco por um erro que não é meu. Cada ligação dessas é tempo perdido, é estresse, é dinheiro que eu gasto com telefone. A fatura de abril já tá aqui, com essa cobrança que não devia estar, mais os juros, e a de maio tá chegando. Se eu não pagar, meu nome vai pra sujeira, tudo por causa da incompetência do Banco Facilita em resolver um problema básico de estorno. Eu me sinto desrespeitado, enganado, um verdadeiro palhaço.

Eu só quero que resolvam essa bagunça. Que o Banco Central veja o que esses bancos estão fazendo com a gente, que é consumidor e que paga as contas. Não é justo ficar nessa enrolação sem fim. Eu preciso que essa cobrança seja retirada, os juros estornados, e que o Banco Facilita resolva de uma vez por todas esse problema no meu cartão de crédito. É um descaso total e uma falta de consideração com o cliente.",Cartão de Crédito,Resolvida,Atendimento
REC-2026-00109,2026-11-11,SAC,"Pelo amor de deus, o atendimento de vcs tá horrível, ninguém me ajuda! Se não resolver isso logo, vou direto pro Procon e processo judicial, não aguento mais!",,Resolvida,Atendimento
REC-2026-00110,2026-04-03,Banco Central,"Pelo amor de Deus, Banco Central, meu empréstimo virou um inferno e ninguém do banco resolve! Me ajudem, tô desesperado aqui.",Empréstimo,Resolvida,Outros
REC-2026-00111,2026-04-03,Ouvidoria,"A presente comunicação visa registrar formalmente a profunda insatisfação e a ineficácia dos canais de atendimento desta instituição no tocante ao processo de cancelamento de um empréstimo. Minha intenção, desde o primeiro momento em que compreendi a natureza da transação, tem sido exclusivamente a de proceder com o cancelamento integral e imediato, objetivo que, até a presente data, se mostra inviável.

O transtorno iniciou-se quando, por intermédio de uma oferta que surgiu em minha tela, fui levado a crer que estava apenas solicitando informações. As etapas subsequentes, com a inserção de dados pessoais e a confirmação em interfaces que julgo excessivamente complexas, resultaram na contratação efetiva de um empréstimo, cujo valor e condições não se alinham com minha real necessidade ou com minha capacidade de gerenciamento neste momento da vida. Reitero que a natureza da oferta foi ambígua, conduzindo-me a um cenário de contratação sem que houvesse plena clareza de minha parte sobre as implicações.

Desde então, minhas tentativas de comunicação com a empresa têm sido sistematicamente frustradas. Utilizei o aplicativo, que demanda uma série de senhas e confirmações que me são de difícil memorização e compreensão. A navegação é intrincada, com ícones e menus que não apresentam clareza quanto à sua função. Ao tentar acessar a opção de cancelamento, sou direcionado para outras seções ou para assistentes virtuais cujas respostas são padronizadas e não abordam a especificidade de minha demanda. É um ciclo de redirecionamentos que não culmina em uma solução concreta.

Adicionalmente, realizei contatos telefônicos em diversas ocasiões. Cada chamada implica em longos períodos de espera, seguidos por atendimentos que se limitam a solicitar meus dados repetidamente e, posteriormente, a me transferir para outros departamentos. A cada nova transferência, sou obrigado a reiterar a história desde o início, sem que haja uma continuidade ou um registro claro das interações anteriores. Os operadores, embora talvez bem intencionados, parecem não possuir a autonomia ou o conhecimento para efetivar o cancelamento, limitando-se a registrar a solicitação ou a fornecer instruções que já se mostraram ineficazes.

O que se esperava ser um processo simples de arrependimento e cancelamento transformou-se em uma saga de burocracia digital e humana. A cada dia que passa, a preocupação com esta pendência cresce, e a sensação de impotência diante da dificuldade de resolver algo tão fundamental é avassaladora. Exijo, portanto, que esta Ouvidoria intervenha de forma decisiva para que o referido empréstimo seja cancelado com a máxima urgência e sem quaisquer ônus adicionais, e que me seja providenciada uma confirmação formal deste cancelamento por meio de canal acessível e compreensível.

Agradeço a atenção e aguardo providências eficazes e imediatas.",Empréstimo,Resolvida,Cancelamento
REC-2026-00112,2026-11-21,SAC,"É com um misto de perplexidade e um certo humor sombrio que observo mais uma cobrança manifestamente indevida em meu empréstimo, referente ao CPF 123.456.789-00. Presumo que a inclusão deste valor extra seja fruto de alguma inovadora estratégia de ""otimização de lucros"" unilateral, e não de uma falha grosseira ou, pior, de uma intenção deliberada de subtrair o que não lhes pertence. Espero, sinceramente, que a correção seja imediata e que não seja necessário recorrer a métodos mais... persuasivos para garantir a devida observância de um contrato que, por incrível que pareça, ainda é regido pela lei.",Empréstimo,Aberta,Cobrança Indevida
REC-2026-00113,2026-08-21,Banco Central,"E aí, gente do Banco Central! Pelo amor de deus me ajuda aqui, tô desesperado! Fui vítima de um golpe feio demais, perdi TODAS as minhas economias na minha conta corrente e o banco não faz nada, só me enrola, é um absurdo o que tá acontecendo. Preciso de uma luz, tô sem chão!

Foi assim, ó: tava eu de boa esses dias, e recebi uma mensagem no zap, tipo, PARECIA ser do meu banco. A mensagem dizia que tinha um problema de segurança urgente na minha conta e que eu precisava ""verificar"" meus dados pra não ter a conta bloqueada. O link era meio estranho, mas como tava a logo do banco e a mensagem era urgente, com um tom de ameaça, eu cliquei, né? Pensei que era sério e que eles tavam me ajudando. Fiquei com medo de perder o acesso à minha grana.

Aí abriu uma página IGUALZINHA a do meu internet banking. Pedia uns dados lá, tipo login e senha, sabe? Aqueles dados que a gente usa pra entrar na conta. Eu, burro, coloquei tudo certinho, achei que era pra resolver o tal problema de segurança que eles avisaram. Depois de um tempo, a página travou e não foi pra lugar nenhum. Fiquei meio cabreiro na hora, mas não dei muita bola, pensei que era só um bug.

No dia seguinte, fui entrar na conta pra pagar umas contas que tavam atrasadas, e CADÊ o dinheiro?! SUMIU TUDO! Zeraram minha conta, irmão! Tinha uns 5 mil reais lá, que era o dinheiro do aluguel, da feira, do remédio da minha mãe que é doente, tudo! Levaram tudo na maior cara de pau. Foi um baque, quase caí pra trás. Fiquei sem chão, sem saber o que fazer. Minha cabeça girou.

Na hora, liguei pro banco, contei tudo, bem detalhado, o que aconteceu, a mensagem, o link. O atendente, maior robô, disse que ia ""analisar"" o ocorrido e que era pra eu esperar. Passou uns dias, nada. Liguei de novo, a mesma ladainha: ""senhor, estamos analisando"". Pô, analisar o quê? O dinheiro sumiu, os caras me roubaram! Eles me mandaram um e-mail tempos depois falando que ""não identificaram falhas de segurança do banco"" e que a responsabilidade era minha por ter clicado no link e passado meus dados. COMO ASSIM, MINHA RESPONSABILIDADE?! O banco não tem que proteger a gente desses golpes? Eles não têm que ter um sistema seguro? É mole!

Agora tô aqui, sem grana pra nada, devendo pra todo mundo, minha mãe doente e eu sem ter como comprar os remédios dela. Tô com o nome sujo por causa desse golpe, porque não tive como pagar minhas contas, e o banco nem se mexe, não faz nada pra me ajudar. Banco Central, vocês são minha última esperança! Pelo amor de Deus, me ajuda a recuperar meu dinheiro ou fazer esse banco resolver essa treta. Não é justo eu perder tudo por causa de uns bandidos e a segurança do banco ser fraca pra caramba. Eu confiei neles, depositei minha vida lá, e agora tô na rua da amargura. Me ajuda, gente, eu tô desesperado real! Não sei mais o que fazer!",Conta Corrente,Aberta,Fraude/Segurança
REC-2026-00114,2026-11-02,SAC,"SAC,

Olha, eu realmente não acredito que estou tendo que escrever isso DE NOVO. É o Augusto Albuquerque e Silva falando, sim, AQUELE Augusto Albuquerque e Silva, cliente de vocês há mais de uma década, com um histórico de gastos que deve encher os olhos de qualquer gerente. E vocês têm a audácia de me mandar uma fatura com uma COBRANÇA INDEVIDA que eu já deveria ter visto resolvida meses atrás? Isso é uma piada de muito mau gosto ou pura incompetência?

Estou me referindo àquela taxa absurda de ""Serviços Digitais Premium"" no meu Cartão Black, final 1234. Aquilo foi cancelado há exatos CINCO MESES. Eu liguei, eu confirmei o cancelamento, recebi um e-mail de confirmação (que, obviamente, tive o trabalho de guardar, porque já sei como vocês funcionam). E agora, do nada, essa porcaria ressurge na minha fatura de novo? É o cúmulo da desorganização. Parece que vocês fazem questão de me incomodar com bobagens repetidas.

Da última vez, foi uma trabalheira para conseguir o estorno. Tive que passar por uns cinco atendentes, explicar a mesma história 20 vezes, perder um tempo precioso que custa muito mais do que essa taxa ridícula. E agora vocês querem que eu faça TUDO DE NOVO? Vocês acham que meu tempo é ilimitado? Que eu não tenho mais o que fazer do que ficar caçando erro na fatura de vocês? Francamente, é um desrespeito com a minha inteligência e, principalmente, com a minha lealdade a esta instituição.

Eu sou um cliente que movimenta uma quantia considerável por mês, que utiliza todos os produtos de vocês, que recomendou o banco para outros empresários do meu círculo. Eu esperaria, no mínimo, um tratamento diferenciado. Uma proatividade em resolver problemas, não em criá-los. Que tipo de ""cliente premium"" sou eu se tenho que ficar me preocupando com erros primários de faturamento? Isso é inadmissível.

Eu não quero justificativas, não quero ""pedimos desculpas pelo transtorno"" genérico. Eu quero essa cobrança ESTORNADA imediatamente, na minha próxima fatura. E quero uma confirmação de que isso NUNCA MAIS vai acontecer. Se esse tipo de falha básica persiste, talvez seja a hora de eu repensar onde meu dinheiro e meus investimentos estão sendo mais bem valorizados. Existem outros bancos no mercado que fariam de tudo para ter um cliente como eu, e eles certamente não me fariam perder tempo com esse tipo de amadorismo.

Resolvam isso. AGORA. E me deem um retorno concreto, não um e-mail padrão. Tenho mais o que fazer.

Augusto Albuquerque e Silva",Cartão de Crédito,Aberta,Cobrança Indevida
REC-2026-00115,2026-02-11,Banco Central,"É um absurdo a dificuldade que estou tendo pra conseguir cancelar esse empréstimo. Essa enrolação está me prejudicando demais, já tentei contato várias vezes e ninguém resolve nada. Se essa situação não for resolvida imediatamente, podem ter certeza que vou acionar o Procon e depois é processo judicial, não tenho mais paciência pra essa palhaçada.",Empréstimo,Em análise,Cancelamento
REC-2026-00116,2026-08-01,Banco Central,"Gente do Banco Central, eu não sei mais o que fazer! Fui tentar cancelar aquele empréstimo que peguei e agora parece que sumiu tudo, não entendo nada desse aplicativo. Eles falaram que cancelaram, mas e agora? Tô perdido aqui sem saber se está tudo certo ou se vou ter mais problema, por favor me ajudem!",Empréstimo,Aberta,Cancelamento
REC-2026-00117,2026-02-26,Banco Central,"Banco Central, tô escrevendo aqui porque não aguento mais a enrolação do meu banco. É uma cobrança indevida atrás da outra e ninguém resolve nada. A gente que é trabalhador rasta a vida pra ganhar o nosso e vem uma empresa grande e tira da gente na cara dura.

Eu fiz um empréstimo, já tem um tempo. Era pra arrumar a casa, sabe? Uma coisa simples, poucas parcelas. Me lembro direitinho, peguei R$ 5.000,00 e eram pra ser 24 parcelas de R$ 280,00. Contava tudo na ponta do lápis, cada centavo. Paguei tudo certinho, nunca atrasei um dia sequer, sempre fiz questão de honrar meus compromissos pra não ter dor de cabeça.

Acontece que, pela minha conta e pelos comprovantes que eu guardo, a última parcela foi paga em janeiro desse ano. Eu conferi, tava tudo lá no extrato, o saldo do empréstimo zerado. Respirei aliviado, menos uma dívida pra me preocupar. Só que pra minha surpresa e indignação, no mês de fevereiro, PÁ! Mais uma cobrança de R$ 280,00 na minha conta. E o pior, com a descrição do mesmo empréstimo que eu já tinha quitado há mais de um mês!

Na hora já liguei pro banco. Fiquei mais de quarenta minutos na espera, pulando de um atendente pra outro. Um fala que vai resolver, outro diz que é erro do sistema, outro pede pra eu esperar, que o setor responsável ia entrar em contato. Me deram um protocolo, disseram que iam verificar e que em cinco dias úteis ia estar tudo certo, o dinheiro de volta na minha conta. Cinco dias se passaram, dez dias, quinze dias e nada! O dinheiro não voltou e ainda veio outra cobrança em março! Mais R$ 280,00! Isso é um absurdo, uma palhaçada com a cara do cliente que tenta fazer tudo direitinho!

Eu vivo com o que ganho no mês, Banco Central. Esses R$ 280,00 fazem uma falta danada na minha casa. É a conta de luz, é o gás, é a comida na mesa dos meus filhos. Não dá pra simplesmente ignorar uma dinheirama dessas sumindo da minha conta por causa de um erro que eles não se dão o trabalho de consertar. Eu já tô com dor de cabeça de tanto me estressar com isso, sem dormir direito, sem saber o que fazer mais.

Por isso eu tô vindo aqui. Porque o banco tá pouco se lixando pra mim. Eles só querem meu dinheiro, mesmo que seja de forma errada, mesmo que eu já tenha pagado o que devia. Eu preciso que vocês intervenham, que olhem o que tá acontecendo, porque não é justo. Eu paguei o que devia e não tenho que pagar de novo. Isso é roubo, na minha opinião. É sacanagem com quem não tem tempo pra ficar brigando todo dia com empresa grande.

Eu quero que parem imediatamente com essas cobranças e que me devolvam os R$ 560,00 que já me tiraram indevidamente, com juros e correção, porque o prejuízo e o estresse que eles me causaram não têm preço. Conto com vocês pra resolverem essa bagunça. Não posso ser refém da má vontade de um banco que não respeita o consumidor.",Empréstimo,Resolvida,Cobrança Indevida
REC-2026-00118,2026-06-07,SAC,"Que palhaçada é essa com a segurança da minha conta corrente? Resolvam *agora* essa fraude inaceitável, não tenho tempo para a incompetência de vocês.",Conta Corrente,Aberta,Fraude/Segurança
REC-2026-00119,2026-04-15,Banco Central,"Gente do Banco Central, pelo amor de Deus me ajuda! Acabei de descobrir que pegaram um empréstimo no meu nome e eu nunca pedi nada! Tô desesperado, não sei como isso aconteceu e preciso que vocês me orientem urgente pra resolver essa fraude. O que eu faço agora?",Empréstimo,Aberta,Fraude/Segurança
REC-2026-00120,2026-03-03,SAC,"A presente notificação visa contestar formalmente as cobranças indevidas reiteradamente lançadas em meu empréstimo. Exijo a imediata retificação e estorno dos valores em questão, sob pena de adoção das providências jurídicas cabíveis para salvaguardar meus direitos. A inobservância desta exigência acarretará em consequências severas, sem aviso prévio.",Empréstimo,Em análise,Cobrança Indevida
REC-2026-00121,2026-09-30,Ouvidoria,"Ouvidoria, pelo amor de deus, minha conta corrente ta zoada e eu nao consigo mexer no meu dinheiro, me ajuda ai pq to desesperado!",Conta Corrente,Resolvida,Produto/Serviço
REC-2026-00122,2026-07-23,SAC,"Ai meu Deus do céu, eu não sei nem por onde começar, minha cabeça tá um turbilhão. É tanta coisa acontecendo e eu não entendo nada desse negócio de internet, de aplicativo, de computador... É um desespero que a gente sente, viu? Uma pessoa de idade como eu, que sempre viveu a vida certinha, de repente se vê no meio de uma confusão danada por causa dessas modernidades.

É sobre o meu cartão, aquele que vocês me deram, sabe? O de crédito, que a gente usa pra comprar as coisinhas no mercado, pagar um remedinho na farmácia. Eu sempre fui muito cuidadosa com ele, sempre paguei minhas contas em dia, nunca atrasei um centavo. Mas agora, minha vida virou de ponta-cabeça por causa de uma coisa que eu nem sei como aconteceu direito.

Uns dias atrás, ligaram pra mim. Uma moça tão educada, com voz de rádio, que parecia gente boa, dizendo que era de vocês, do banco. Falou que tinha uma compra estranha no meu cartão, que precisava de uma confirmação pra cancelar. Eu, que sou uma pessoa de bem e não gosto de dívidas, quis ajudar, né? Ela falou pra eu olhar na tela do meu celular que ia chegar um código, um número, e pra eu falar pra ela. Chegou mesmo! Um número grandão. Aí eu dei o código pra ela, pensando que estava resolvendo o problema, que a moça estava me ajudando a evitar uma dor de cabeça. Ela até me agradeceu e disse que estava tudo certo. Que alívio eu senti na hora!

Mas que nada! Que alívio o quê! Uns dias depois, fui passar o cartão pra comprar meu pãozinho na padaria, e deu negado. Fiquei com uma vergonha que não sei onde enfiar a cara! A moça do caixa ficou me olhando torto. Pensei: ""Ué, mas eu tenho dinheiro, minhas contas estão todas em dia"". Aí fui ver a fatura, aquele papel que chega em casa, mas que agora é tudo pela internet, uma bagunça de números. E apareceu umas compras que eu nunca fiz! Umas coisas que eu nem sei o que são, de uns lugares que eu nunca fui. Como é que isso acontece, meu Deus? Como é que alguém consegue usar meu cartão assim, sem eu saber de nada?

Eu tentei ligar pra aquele número que vem atrás do cartão, mas é uma máquina que fala, e eu não entendo o que ela diz. Aperta 1 pra isso, aperta 2 pra aquilo, aí volta pro começo. Não consigo falar com ninguém de carne e osso! Tentei entrar nesse 'aplicativo' que o meu neto instalou, mas é tanta letrinha pequena, tanto botão que eu não sei pra que serve. A gente fica perdido, sem saber pra onde ir. É tudo muito complicado pra minha cabeça, que já não é mais a mesma de quando eu era jovem.

Por favor, por tudo que é mais sagrado, me ajudem! Eu sou uma pessoa de idade, não entendo essas malandragens da internet, esses golpes que as pessoas dão. Eu só quero que arrumem essa bagunça. Cancelam essas compras, por favor. Eu não tenho esse dinheiro pra pagar por uma coisa que eu não comprei, que eu nem sei o que é. Eu não quero ficar com meu nome sujo, eu sempre fui honesta. Não consigo dormir direito pensando nisso, meu coração fica apertado.

Eu só quero que meu cartão volte a funcionar pra eu poder comprar minhas coisas e que essas dívidas que não são minhas sumam. Eu não sei mais o que fazer. Me liguem, por favor, me expliquem o que está acontecendo. Eu tô com o coração na mão.",Cartão de Crédito,Em análise,Fraude/Segurança
